Date	Open	High	Low	Close	Volume	Adj Close			
26/04/2007	6461.9	6511.1	6443.7	6469.4	1688938000	6469.4			
27/04/2007	6469.4	6469.4	6410.6	6418.7	1877732000	6418.7			
30/04/2007	6418.7	6474.7	6410.5	6449.2	1386355000	6449.2			
01/05/2007	6449.2	6449.2	6395.5	6419.6	1036351100	6419.6			
02/05/2007	6419.6	6489	6419.6	6484.5	2017407600	6484.5			
03/05/2007	6484.5	6542.5	6484.5	6537.8	1925600400	6537.8			
04/05/2007	6537.8	6614.7	6537.8	6603.7	2099882800	6603.7			
08/05/2007	6603.7	6603.7	6537.5	6550.4	1962124000	6550.4			
09/05/2007	6550.4	6592.4	6529	6549.6	1948521400	6549.6			
10/05/2007	6549.6	6565.1	6515	6524.1	1836226400	6524.1			
11/05/2007	6524.1	6577	6451.9	6565.7	2146800600	6565.7			
14/05/2007	6565.7	6596.3	6530.3	6555.5	1234021300	6555.5			
15/05/2007	6555.5	6579	6532.9	6568.6	2142701600	6568.6			
16/05/2007	6568.6	6578.6	6539.4	6559.5	1834992800	6559.5			
17/05/2007	6559.5	6588.7	6553.6	6579.3	1987515600	6579.3			
18/05/2007	6579.3	6656.3	6579.1	6640.9	1971217200	6640.9			
21/05/2007	6640.9	6675	6619.4	6636.8	1562307500	6636.8			
22/05/2007	6636.8	6641.9	6594.6	6606.6	2147420000	6606.6			
23/05/2007	6606.6	6643.8	6602.5	6616.4	2142740200	6616.4			
24/05/2007	6616.4	6619.5	6560.5	6565.4	2137269600	6565.4			
25/05/2007	6565.4	6575.2	6532.5	6570.5	1649747200	6570.5			
29/05/2007	6570.5	6613.4	6570.5	6606.5	2146616000	6606.5			
30/05/2007	6606.5	6606.5	6533.5	6602.1	2048075400	6602.1			
31/05/2007	6602.1	6650.2	6602.1	6621.4	2067952800	6621.4			
01/06/2007	6621.4	6676.7	6621.3	6676.7	1746554800	6676.7			
04/06/2007	6676.7	6686.1	6641.2	6664.1	1276511200	6664.1			
05/06/2007	6664.1	6686.6	6625.7	6632.8	1790008800	6632.8			
06/06/2007	6632.8	6636.9	6511.7	6522.7	2034886600	6522.7			
07/06/2007	6522.7	6574.9	6478	6505.1	2145944400	6505.1			
08/06/2007	6505.1	6519.4	6451.4	6505.1	2147079600	6505.1			
11/06/2007	6505.1	6567.5	6505.1	6567.5	1400291000	6567.5			
12/06/2007	6567.5	6586.6	6513.7	6520.4	2009952200	6520.4			
13/06/2007	6520.4	6567.3	6483.6	6559.6	1925533000	6559.6			
